Shipment Number,Shipper,Consignee,Origin,Destination,Transhipments count,Sending Agent,Receiving Agent,Sales Rep,TEU,Incitement,Transport Mode,Direction,Shipment Type,ETD,ETA,ATD,ATA,Total Transit Days,Total Estimated Transit Days,Delay Days,Late/Early
SHP100047,Mahindra Agritech,Bharat Pharma Exports,Mundra,New York,2,Shree Logi Agency,Bluedart Cargo,D. Sharma,1,EXW,Air,Export,Parcel,06-07-2025,10-07-2025,07-07-2025,12-07-2025,5,4,1,Late Arrival
SHP100048,Tata Motors Ltd,AmeriTech LLC,Jeddah,Tuticorin,2,GT Air Express,Deko Freight,P. Desai,1,CIF,Sea,Import,LCL,06-05-2025,27-05-2025,06-05-2025,18-06-2025,39,21,18,Late Arrival
SHP100049,Max Pharma Ltd,Sun Drug Co Ltd,Visakhapatnam,Hong Kong,2,Greenline Agency,Bluedart Cargo,D. Sharma,1,CIP,Sea,Export,FCL,02-05-2024,15-05-2024,02-05-2024,27-05-2024,23,13,10,Late Arrival
SHP100050,ITC Ltd,XYZ Automotives,Kolkata,Kaohsiung,3,GT Air Express,Kanto Broker,R. Goenka,1,DDP,Sea,Export,LCL,03-06-2024,01-07-2024,04-06-2024,15-07-2024,35,28,7,Late Arrival
SHP100051,Tata Motors Ltd,XYZ Automotives,Los Angeles,Nhava Sheva,3,FastShip Ocean,Deko Freight,V. Sinha,2,FCA,Sea,Import,FCL,21-04-2025,18-05-2025,23-04-2025,04-06-2025,37,27,10,Late Arrival
SHP100052,Adani Exports,Sun Drug Co Ltd,Chennai,Tanger Med,1,FastShip Ocean,Kanto Broker,P. Desai,1,CIP,Sea,Export,LCL,14-01-2026,22-01-2026,17-01-2026,26-01-2026,9,8,1,Late Arrival
SHP100053,Adani Exports,Pacific Foods Ltd,Seattle,Cochin,3,South Freight,Gujarat Links,D. Sharma,1,DAP,Sea,Import,FCL,13-01-2025,04-02-2025,14-01-2025,18-02-2025,31,22,9,Late Arrival
SHP100054,Tata Motors Ltd,Fresh Foods Inc,Visakhapatnam,Tacoma,3,Value Carry Pvt Ltd,Deko Freight,D. Sharma,1,DDP,Sea,Export,FCL,14-08-2024,15-09-2024,14-08-2024,30-09-2024,31,32,-1,Early Arrival
SHP100055,Godrej Agrovet,Star Imports Ltd,Hong Kong,Kolkata,2,Greenline Agency,Kanto Broker,R. Goenka,2,CIF,Sea,Import,LCL,04-02-2024,26-02-2024,04-02-2024,18-03-2024,40,22,18,Late Arrival
SHP100056,Larsen & Toubro,XYZ Automotives,New York,Chennai,3,Shree Logi Agency,Bengal Marine,A. Joshi,1,FOB,Sea,Import,FCL,09-02-2026,10-03-2026,09-02-2026,23-03-2026,38,29,9,Late Arrival
SHP100057,Godrej Agrovet,Pacific Foods Ltd,Tuticorin,Tanjung Pelepas,3,Greenline Agency,Gujarat Links,S. Kumar,1,CIP,Sea,Export,FCL,30-08-2025,19-09-2025,03-09-2025,02-10-2025,24,20,4,Late Arrival
SHP100058,Godrej Agrovet,Bharat Pharma Exports,Rotterdam,Nhava Sheva,3,FastShip Ocean,Ocean Bridge,S. Kumar,2,CIP,Sea,Import,FCL,02-04-2024,02-05-2024,03-04-2024,16-05-2024,33,30,3,Late Arrival
SHP100059,Mahindra Agritech,ABC Imports Pvt Ltd,London,Visakhapatnam,1,Pacific Marine,EuroLogistics,A. Joshi,1,DAP,Air,Import,Parcel,02-03-2024,05-03-2024,02-03-2024,13-03-2024,11,3,8,Late Arrival
SHP100060,Max Pharma Ltd,Star Imports Ltd,Valencia,Kolkata,3,GT Air Express,Ocean Bridge,D. Sharma,4,CIP,Sea,Import,FCL,01-12-2024,29-12-2024,01-12-2024,11-01-2025,39,28,11,Late Arrival
SHP100061,Max Pharma Ltd,AmeriTech LLC,Cochin,Paris,1,Greenline Agency,Bluedart Cargo,D. Sharma,1,DDP,Air,Export,Parcel,26-11-2025,27-11-2025,26-11-2025,27-11-2025,1,1,0,On Time
SHP100062,Bharat Steel,XYZ Automotives,Mumbai,Long Beach,3,GT Air Express,Deko Freight,R. Goenka,1,CIF,Sea,Export,LCL,14-03-2026,13-04-2026,14-03-2026,29-04-2026,35,30,5,Late Arrival
SHP100063,Adani Exports,XYZ Automotives,Colombo,Mumbai,1,FastShip Ocean,EuroLogistics,P. Desai,1,DDP,Sea,Import,FCL,18-03-2026,27-03-2026,19-03-2026,28-03-2026,9,9,0,On Time
SHP100064,Mahindra Agritech,Euro Retail GmbH,Visakhapatnam,Gioia Tauro,1,GT Air Express,Gujarat Links,M. Tandon,1,FCA,Sea,Export,FCL,08-03-2025,23-03-2025,08-03-2025,02-04-2025,25,15,10,Late Arrival
SHP100065,Adani Exports,Star Imports Ltd,Cochin,Dammam,2,Greenline Agency,Bluedart Cargo,V. Sinha,2,DAP,Sea,Export,LCL,16-03-2024,30-03-2024,18-03-2024,02-04-2024,14,14,0,On Time
SHP100066,ITC Ltd,Global Traders LLP,Hamburg,Nhava Sheva,3,South Freight,Bengal Marine,R. Goenka,4,EXW,Sea,Import,FCL,01-06-2024,14-07-2024,18-06-2024,07-08-2024,45,43,2,Late Arrival
SHP100067,Godrej Agrovet,Pacific Foods Ltd,Norfolk,Tuticorin,3,Pacific Marine,Deko Freight,R. Goenka,1,DAP,Sea,Import,FCL,22-09-2025,18-10-2025,22-09-2025,27-10-2025,30,26,4,Late Arrival
SHP100068,Bharat Steel,AmeriTech LLC,Tacoma,Cochin,3,South Freight,Kanto Broker,S. Kumar,2,FOB,Sea,Import,LCL,11-12-2024,16-01-2025,11-12-2024,31-01-2025,45,36,9,Late Arrival
SHP100069,Mahindra Agritech,Global Traders LLP,Jebel Ali,Tuticorin,2,Greenline Agency,Ocean Bridge,D. Sharma,1,DDP,Sea,Import,FCL,04-10-2024,26-10-2024,04-10-2024,02-11-2024,28,22,6,Late Arrival
SHP100070,Adani Exports,Pacific Foods Ltd,Nhava Sheva,Tacoma,3,FastShip Ocean,Deko Freight,S. Kumar,1,FCA,Sea,Export,LCL,10-10-2025,14-11-2025,12-10-2025,23-11-2025,39,35,4,Late Arrival
SHP100071,Reliance Exports,Fresh Foods Inc,Mumbai,Jeddah,2,South Freight,EuroLogistics,M. Tandon,4,CIP,Sea,Export,FCL,14-04-2025,01-05-2025,16-04-2025,19-05-2025,18,17,1,Late Arrival
SHP100072,Marico Ltd,Euro Retail GmbH,Los Angeles,Visakhapatnam,2,Pacific Marine,Deko Freight,V. Sinha,1,FOB,Air,Import,Parcel,25-08-2025,30-08-2025,25-08-2025,03-09-2025,8,5,3,Late Arrival
SHP100073,Marico Ltd,Pacific Foods Ltd,Tanger Med,Nhava Sheva,1,GT Air Express,Deko Freight,M. Tandon,1,FCA,Sea,Import,FCL,24-10-2025,03-11-2025,24-10-2025,13-11-2025,20,10,10,Late Arrival
SHP100074,ITC Ltd,Fresh Foods Inc,Felixstowe,Cochin,3,Value Carry Pvt Ltd,Deko Freight,M. Tandon,2,FCA,Sea,Import,LCL,13-12-2025,18-01-2026,19-12-2025,02-02-2026,42,36,6,Late Arrival
SHP100075,Max Pharma Ltd,ABC Imports Pvt Ltd,Dallas,Visakhapatnam,1,South Freight,Deko Freight,D. Sharma,1,DAP,Air,Import,Parcel,11-08-2024,12-08-2024,12-08-2024,13-08-2024,1,1,0,On Time
SHP100076,Mahindra Agritech,Global Traders LLP,Savannah,Mundra,3,South Freight,Deko Freight,P. Desai,1,DAP,Sea,Import,FCL,13-08-2025,13-09-2025,13-08-2025,30-09-2025,38,31,7,Late Arrival
SHP100077,Larsen & Toubro,AmeriTech LLC,Ningbo,Nhava Sheva,2,FastShip Ocean,Kanto Broker,R. Goenka,4,FOB,Sea,Import,FCL,24-04-2024,18-05-2024,24-04-2024,02-06-2024,38,24,14,Late Arrival
SHP100078,Tata Motors Ltd,AmeriTech LLC,Antwerp,Kolkata,3,South Freight,Bengal Marine,P. Desai,2,DDP,Sea,Import,FCL,07-02-2025,05-03-2025,12-02-2025,23-03-2025,35,26,9,Late Arrival
SHP100079,Godrej Agrovet,AmeriTech LLC,Kolkata,Jeddah,2,Greenline Agency,Deko Freight,M. Tandon,4,DAP,Sea,Export,FCL,09-09-2024,29-09-2024,09-09-2024,05-10-2024,25,20,5,Late Arrival
SHP100080,Tata Motors Ltd,Global Traders LLP,Nhava Sheva,Valencia,3,FastShip Ocean,Bluedart Cargo,M. Tandon,1,DDP,Sea,Export,FCL,26-04-2024,23-05-2024,03-05-2024,04-06-2024,28,27,1,Late Arrival
SHP100081,Marico Ltd,ABC Imports Pvt Ltd,Oakland,Cochin,3,Pacific Marine,Kanto Broker,S. Kumar,1,CIF,Sea,Import,LCL,04-10-2025,16-11-2025,05-10-2025,13-12-2025,58,43,15,Late Arrival
SHP100082,Larsen & Toubro,ABC Imports Pvt Ltd,Tanjung Pelepas,Tuticorin,2,Value Carry Pvt Ltd,Ocean Bridge,P. Desai,1,CIP,Sea,Import,FCL,03-04-2024,24-04-2024,05-04-2024,02-05-2024,25,21,4,Late Arrival
SHP100083,Larsen & Toubro,ABC Imports Pvt Ltd,Tuticorin,Dammam,2,FastShip Ocean,EuroLogistics,V. Sinha,1,FCA,Sea,Export,LCL,28-08-2025,17-09-2025,28-08-2025,27-09-2025,26,20,6,Late Arrival
SHP100084,Marico Ltd,AmeriTech LLC,Nhava Sheva,Charleston,3,South Freight,Bengal Marine,S. Kumar,2,EXW,Sea,Export,FCL,03-07-2024,27-07-2024,03-07-2024,06-08-2024,29,24,5,Late Arrival
SHP100085,Tata Motors Ltd,Sun Drug Co Ltd,Tuticorin,Tanger Med,1,FastShip Ocean,Bluedart Cargo,R. Goenka,1,FCA,Sea,Export,LCL,20-08-2024,07-09-2024,21-08-2024,11-09-2024,21,18,3,Late Arrival
SHP100086,Mahindra Agritech,XYZ Automotives,Chennai,Tacoma,3,Value Carry Pvt Ltd,Kanto Broker,M. Tandon,1,DDP,Sea,Export,LCL,27-05-2025,20-06-2025,04-06-2025,07-07-2025,27,24,3,Late Arrival
SHP100087,Tata Motors Ltd,Fresh Foods Inc,Valencia,Nhava Sheva,3,Shree Logi Agency,Ocean Bridge,M. Tandon,2,CIF,Sea,Import,FCL,05-01-2026,18-02-2026,05-01-2026,06-03-2026,50,44,6,Late Arrival
SHP100088,Bharat Steel,Sun Drug Co Ltd,Mundra,Seattle,3,Value Carry Pvt Ltd,Gujarat Links,R. Goenka,1,DAP,Sea,Export,FCL,01-03-2025,31-03-2025,04-03-2025,15-04-2025,39,30,9,Late Arrival
SHP100089,Adani Exports,Euro Retail GmbH,Norfolk,Mumbai,3,Shree Logi Agency,Deko Freight,M. Tandon,1,DAP,Sea,Import,FCL,12-09-2025,15-10-2025,14-09-2025,26-10-2025,38,33,5,Late Arrival
SHP100090,ITC Ltd,Pacific Foods Ltd,Cochin,Dallas,1,Greenline Agency,Gujarat Links,S. Kumar,1,CIP,Air,Export,Parcel,19-11-2024,22-11-2024,20-11-2024,25-11-2024,5,3,2,Late Arrival
SHP100091,Mahindra Agritech,Euro Retail GmbH,Baltimore,Mumbai,3,FastShip Ocean,Kanto Broker,M. Tandon,1,CIF,Sea,Import,FCL,16-06-2024,14-07-2024,16-06-2024,23-07-2024,30,28,2,Late Arrival
SHP100092,Godrej Agrovet,XYZ Automotives,Hong Kong,Nhava Sheva,1,Shree Logi Agency,Gujarat Links,M. Tandon,1,FCA,Air,Import,Parcel,20-03-2025,23-03-2025,20-03-2025,24-03-2025,4,3,1,Late Arrival
SHP100093,Godrej Agrovet,Euro Retail GmbH,Cochin,Antwerp,3,GT Air Express,EuroLogistics,M. Tandon,2,DDP,Sea,Export,FCL,03-05-2025,31-05-2025,03-05-2025,19-06-2025,45,28,17,Late Arrival
SHP100094,Reliance Exports,Star Imports Ltd,Chennai,Seattle,3,Greenline Agency,Bengal Marine,D. Sharma,1,DAP,Sea,Export,FCL,19-07-2024,12-08-2024,20-07-2024,25-08-2024,31,24,7,Late Arrival
SHP100095,Tata Motors Ltd,ABC Imports Pvt Ltd,Cochin,Dammam,2,South Freight,Bluedart Cargo,A. Joshi,2,DAP,Sea,Export,FCL,08-07-2025,28-07-2025,12-07-2025,04-08-2025,21,20,1,Late Arrival
SHP100096,Mahindra Agritech,Pacific Foods Ltd,Colombo,Mumbai,1,Value Carry Pvt Ltd,EuroLogistics,V. Sinha,2,EXW,Sea,Import,FCL,23-06-2024,01-07-2024,29-06-2024,06-07-2024,7,8,-1,Early Arrival
SHP100097,Tata Motors Ltd,Fresh Foods Inc,Visakhapatnam,Port Klang,3,Shree Logi Agency,Deko Freight,P. Desai,1,FCA,Sea,Export,FCL,09-03-2026,24-03-2026,13-03-2026,05-04-2026,20,15,5,Late Arrival
SHP100098,ITC Ltd,Euro Retail GmbH,Tuticorin,Savannah,3,Value Carry Pvt Ltd,Deko Freight,R. Goenka,1,FCA,Sea,Export,FCL,09-03-2026,31-03-2026,10-03-2026,10-04-2026,27,22,5,Late Arrival
SHP100099,Reliance Exports,AmeriTech LLC,Kolkata,Kaohsiung,3,Pacific Marine,Bluedart Cargo,D. Sharma,1,CIP,Sea,Export,FCL,27-10-2024,28-11-2024,27-10-2024,16-12-2024,43,32,11,Late Arrival
SHP100100,ITC Ltd,Fresh Foods Inc,Mumbai,Tokyo,2,Pacific Marine,EuroLogistics,V. Sinha,1,DDP,Air,Export,Parcel,17-08-2024,22-08-2024,17-08-2024,26-08-2024,8,5,3,Late Arrival
SHP100101,Marico Ltd,Global Traders LLP,Nhava Sheva,Tacoma,3,Pacific Marine,Gujarat Links,V. Sinha,2,FCA,Sea,Export,FCL,04-07-2025,28-07-2025,05-07-2025,06-08-2025,28,24,4,Late Arrival
SHP100102,Reliance Exports,Euro Retail GmbH,Nhava Sheva,Jeddah,2,Value Carry Pvt Ltd,Gujarat Links,R. Goenka,1,EXW,Sea,Export,FCL,16-04-2024,08-05-2024,16-04-2024,10-05-2024,23,22,1,Late Arrival
SHP100103,Bharat Steel,Global Traders LLP,Chennai,Shanghai,2,FastShip Ocean,EuroLogistics,R. Goenka,1,FOB,Sea,Export,FCL,26-11-2024,18-12-2024,29-11-2024,24-12-2024,24,22,2,Late Arrival
SHP100104,ITC Ltd,Star Imports Ltd,Mumbai,Miami,3,Greenline Agency,Gujarat Links,A. Joshi,1,CIP,Sea,Export,LCL,22-11-2025,13-12-2025,30-11-2025,14-01-2026,27,21,6,Late Arrival
SHP100105,Bharat Steel,ABC Imports Pvt Ltd,Visakhapatnam,New York,3,GT Air Express,EuroLogistics,A. Joshi,2,FOB,Sea,Export,FCL,22-11-2025,21-12-2025,22-11-2025,31-12-2025,33,29,4,Late Arrival
SHP100106,Larsen & Toubro,Fresh Foods Inc,Hong Kong,Kolkata,2,South Freight,Ocean Bridge,A. Joshi,1,CIP,Sea,Import,FCL,06-12-2025,01-01-2026,13-12-2025,20-01-2026,37,26,11,Late Arrival
SHP100107,Adani Exports,Bharat Pharma Exports,Kaohsiung,Chennai,2,Pacific Marine,Bluedart Cargo,P. Desai,1,FCA,Sea,Import,LCL,22-08-2025,14-09-2025,28-08-2025,20-09-2025,22,23,-1,Early Arrival
SHP100108,Bharat Steel,Bharat Pharma Exports,Visakhapatnam,Tokyo,3,Pacific Marine,Gujarat Links,D. Sharma,1,CIP,Sea,Export,FCL,29-12-2025,22-01-2026,29-12-2025,31-01-2026,31,24,7,Late Arrival
SHP100109,Bharat Steel,Bharat Pharma Exports,Mundra,Yantian,2,Shree Logi Agency,Bengal Marine,M. Tandon,4,FCA,Sea,Export,LCL,02-11-2024,14-11-2024,08-11-2024,23-11-2024,14,12,2,Late Arrival
SHP100110,ITC Ltd,AmeriTech LLC,Long Beach,Mumbai,3,Pacific Marine,Deko Freight,V. Sinha,2,FCA,Sea,Import,FCL,10-12-2025,15-01-2026,10-12-2025,28-01-2026,47,36,11,Late Arrival
SHP100111,Tata Motors Ltd,XYZ Automotives,Tokyo,Nhava Sheva,2,Value Carry Pvt Ltd,Bluedart Cargo,S. Kumar,1,DAP,Air,Import,Parcel,30-11-2024,05-12-2024,30-11-2024,06-12-2024,6,5,1,Late Arrival
