ShipmentID,Route No,LegNumber,WasRolled,RolloverReason,PaymentStatus,DocumentSubmitted,WeatherSeverity,PortCongestion,GeoRiskFlag,CarrierNotification,ExternalNewsImpact
SHP100010,R000028,2,FALSE,NA,Paid,TRUE,Low,6,NA,NA,FALSE
SHP100011,R000029,1,TRUE,Hub Congestion,Pending,TRUE,High,10,NA,Late Alert,TRUE
SHP100011,R000030,2,TRUE,Feeder Delay,Pending,TRUE,Low,5,NA,Late Alert,TRUE
SHP100011,R000031,3,TRUE,Feeder Delay,Pending,TRUE,High,7,NA,Blank Sailing,TRUE
SHP100012,R000032,1,TRUE,Hub Congestion,Paid,TRUE,Low,4,NA,Late Alert,FALSE
SHP100012,R000033,2,FALSE,NA,Paid,TRUE,Low,7,NA,NA,FALSE
SHP100012,R000034,3,FALSE,NA,Paid,TRUE,Low,5,NA,Blank Sailing,TRUE
SHP100013,R000035,1,FALSE,NA,Overdue,TRUE,Low,3,NA,NA,FALSE
SHP100013,R000036,2,TRUE,Late Document,Overdue,TRUE,Low,5,NA,Late Alert,FALSE
SHP100014,R000037,1,FALSE,NA,Pending,TRUE,Low,8,NA,NA,FALSE
SHP100015,R000038,1,TRUE,Vessel Omission,Paid,TRUE,Low,6,NA,NA,FALSE
SHP100016,R000039,1,TRUE,Hub Congestion,Paid,TRUE,High,4,NA,Late Alert,TRUE
SHP100017,R000040,1,TRUE,Carrier Overbooking,Paid,TRUE,Low,5,NA,NA,FALSE
SHP100017,R000041,2,FALSE,NA,Paid,TRUE,Low,5,NA,NA,FALSE
SHP100018,R000042,1,TRUE,Late Document,Overdue,FALSE,Low,5,NA,NA,FALSE
SHP100018,R000043,2,TRUE,Feeder Delay,Overdue,FALSE,Low,6,NA,Blank Sailing,TRUE
SHP100019,R000044,1,TRUE,Carrier Overbooking,Paid,TRUE,Moderate,8,NA,Late Alert,FALSE
SHP100020,R000045,1,FALSE,NA,Paid,TRUE,Low,7,NA,NA,FALSE
SHP100020,R000046,2,TRUE,Hub Congestion,Paid,TRUE,High,10,NA,NA,TRUE
SHP100021,R000047,1,TRUE,Hub Congestion,Overdue,TRUE,Low,7,NA,Late Alert,FALSE
SHP100021,R000048,2,FALSE,NA,Overdue,TRUE,Low,4,NA,Blank Sailing,TRUE
SHP100021,R000049,3,TRUE,Customs Hold,Overdue,TRUE,Low,7,NA,Blank Sailing,TRUE
SHP100022,R000050,1,FALSE,NA,Pending,TRUE,Low,8,NA,NA,FALSE
SHP100022,R000051,2,FALSE,NA,Pending,TRUE,Moderate,7,NA,NA,FALSE
SHP100022,R000052,3,TRUE,Feeder Delay,Pending,TRUE,Low,7,NA,Late Alert,FALSE
SHP100023,R000053,1,TRUE,Customs Hold,Paid,TRUE,High,5,NA,Late Alert,TRUE
SHP100023,R000054,2,TRUE,Hub Congestion,Paid,TRUE,Moderate,9,NA,Blank Sailing,TRUE
SHP100023,R000055,3,TRUE,Feeder Delay,Paid,TRUE,Low,3,NA,Late Alert,FALSE
SHP100024,R000056,1,TRUE,Late Document,Paid,FALSE,Low,6,Military,Blank Sailing,TRUE
SHP100025,R000057,1,TRUE,Hub Congestion,Overdue,TRUE,Low,8,NA,Late Alert,FALSE
SHP100026,R000058,1,FALSE,NA,Paid,TRUE,Low,4,NA,NA,TRUE
SHP100026,R000059,2,TRUE,Feeder Delay,Paid,TRUE,Low,6,Protest,Blank Sailing,TRUE
SHP100026,R000060,3,FALSE,NA,Paid,TRUE,Low,8,NA,NA,FALSE
SHP100027,R000061,1,FALSE,NA,Paid,TRUE,Low,5,NA,NA,FALSE
SHP100028,R000062,1,FALSE,NA,Pending,TRUE,Low,5,NA,NA,FALSE
SHP100028,R000063,2,TRUE,Feeder Delay,Pending,TRUE,Low,5,NA,Late Alert,FALSE
SHP100029,R000064,1,FALSE,NA,Paid,TRUE,Low,8,NA,Late Alert,FALSE
SHP100029,R000065,2,TRUE,Feeder Delay,Paid,TRUE,Low,4,NA,Late Alert,FALSE
SHP100029,R000066,3,FALSE,NA,Paid,TRUE,Low,4,NA,NA,FALSE
SHP100030,R000067,1,TRUE,Hub Congestion,Paid,TRUE,High,10,NA,Blank Sailing,TRUE
SHP100030,R000068,2,TRUE,Late Document,Paid,TRUE,Moderate,8,NA,Late Alert,FALSE
SHP100030,R000069,3,TRUE,Hub Congestion,Paid,TRUE,Moderate,9,NA,NA,TRUE
SHP100031,R000070,1,TRUE,Late Document,Paid,TRUE,Low,3,Strike,Late Alert,TRUE
SHP100032,R000071,1,FALSE,NA,Paid,TRUE,Low,4,NA,NA,FALSE
SHP100032,R000072,2,TRUE,Feeder Delay,Paid,TRUE,Low,5,NA,Late Alert,FALSE
SHP100033,R000073,1,TRUE,Late Document,Pending,TRUE,Moderate,5,NA,Blank Sailing,TRUE
SHP100034,R000074,1,FALSE,NA,Paid,FALSE,Low,5,NA,NA,FALSE
SHP100034,R000075,2,FALSE,NA,Paid,FALSE,Moderate,4,NA,NA,FALSE
SHP100034,R000076,3,TRUE,Feeder Delay,Paid,FALSE,Low,7,Embargo,Late Alert,TRUE
SHP100035,R000077,1,TRUE,Vessel Omission,Pending,TRUE,Low,6,NA,Late Alert,FALSE
SHP100035,R000078,2,TRUE,Feeder Delay,Pending,TRUE,Moderate,7,NA,Late Alert,FALSE
SHP100035,R000079,3,FALSE,NA,Pending,TRUE,Moderate,5,NA,NA,FALSE
SHP100036,R000080,1,FALSE,NA,Pending,TRUE,Low,8,NA,NA,FALSE
SHP100036,R000081,2,TRUE,Hub Congestion,Pending,TRUE,High,10,NA,Late Alert,TRUE
SHP100036,R000082,3,FALSE,NA,Pending,TRUE,Low,6,NA,NA,FALSE
SHP100037,R000083,1,TRUE,Late Document,Paid,FALSE,Low,8,NA,Late Alert,FALSE
SHP100037,R000084,2,TRUE,Feeder Delay,Paid,FALSE,Low,7,Military,NA,TRUE
SHP100038,R000085,1,FALSE,NA,Paid,TRUE,Low,5,NA,NA,TRUE
SHP100038,R000086,2,TRUE,Feeder Delay,Paid,TRUE,High,10,NA,NA,TRUE
SHP100038,R000087,3,FALSE,NA,Paid,TRUE,Low,5,NA,NA,FALSE
SHP100039,R000088,1,FALSE,NA,Paid,FALSE,Moderate,7,NA,NA,TRUE
SHP100039,R000089,2,FALSE,NA,Paid,FALSE,Low,6,NA,Late Alert,FALSE
SHP100040,R000090,1,TRUE,Vessel Omission,Paid,TRUE,Low,8,Strike,Blank Sailing,TRUE
SHP100040,R000091,2,FALSE,NA,Paid,TRUE,Moderate,4,NA,Late Alert,FALSE
SHP100040,R000092,3,TRUE,Hub Congestion,Paid,TRUE,Moderate,9,NA,Late Alert,TRUE
SHP100041,R000093,1,TRUE,Carrier Overbooking,Paid,TRUE,Low,2,NA,Late Alert,FALSE
SHP100042,R000094,1,FALSE,NA,Paid,TRUE,Low,8,NA,NA,FALSE
SHP100042,R000095,2,TRUE,Late Document,Paid,TRUE,Moderate,9,NA,Late Alert,TRUE
SHP100042,R000096,3,TRUE,Feeder Delay,Paid,TRUE,Moderate,7,NA,Late Alert,FALSE
SHP100043,R000097,1,TRUE,Hub Congestion,Paid,TRUE,Moderate,9,NA,Late Alert,TRUE
SHP100043,R000098,2,FALSE,NA,Paid,TRUE,Moderate,3,Embargo,Late Alert,TRUE
SHP100043,R000099,3,TRUE,Late Document,Paid,TRUE,Moderate,5,NA,Blank Sailing,TRUE
SHP100044,R000100,1,TRUE,Vessel Omission,Paid,TRUE,Low,6,NA,Late Alert,FALSE
SHP100044,R000101,2,FALSE,NA,Paid,TRUE,Low,4,Strike,NA,TRUE
SHP100045,R000102,1,FALSE,NA,Paid,TRUE,Low,2,Embargo,NA,TRUE
SHP100046,R000103,1,FALSE,NA,Paid,TRUE,Low,5,NA,NA,FALSE
SHP100046,R000104,2,FALSE,NA,Paid,TRUE,Moderate,6,NA,NA,FALSE
SHP100046,R000105,3,TRUE,Feeder Delay,Paid,TRUE,Low,7,NA,Late Alert,FALSE
SHP100047,R000106,1,TRUE,Hub Congestion,Pending,TRUE,Moderate,9,NA,Late Alert,TRUE
SHP100047,R000107,2,TRUE,Hub Congestion,Pending,TRUE,Moderate,9,NA,Blank Sailing,TRUE
SHP100048,R000108,1,TRUE,Hub Congestion,Pending,TRUE,Low,2,NA,Late Alert,TRUE
SHP100048,R000109,2,TRUE,Carrier Overbooking,Pending,TRUE,Low,8,NA,Late Alert,FALSE
SHP100049,R000110,1,TRUE,Late Document,Paid,FALSE,Low,6,NA,Late Alert,FALSE
SHP100049,R000111,2,TRUE,Feeder Delay,Paid,FALSE,Low,5,NA,Blank Sailing,TRUE
SHP100050,R000112,1,TRUE,Carrier Overbooking,Paid,TRUE,Low,6,NA,Late Alert,FALSE
SHP100050,R000113,2,TRUE,Hub Congestion,Paid,TRUE,Moderate,9,NA,Blank Sailing,TRUE
SHP100050,R000114,3,FALSE,NA,Paid,TRUE,Low,5,NA,NA,FALSE
SHP100051,R000115,1,TRUE,Vessel Omission,Pending,TRUE,Low,4,NA,Late Alert,FALSE
SHP100051,R000116,2,FALSE,NA,Pending,TRUE,Moderate,7,NA,NA,FALSE
SHP100051,R000117,3,FALSE,NA,Pending,TRUE,Low,8,NA,NA,FALSE
SHP100052,R000118,1,FALSE,NA,Paid,TRUE,Low,4,NA,NA,FALSE
SHP100053,R000119,1,FALSE,NA,Pending,TRUE,High,3,NA,NA,TRUE
SHP100053,R000120,2,FALSE,NA,Pending,TRUE,Low,7,NA,NA,FALSE
SHP100053,R000121,3,FALSE,NA,Pending,TRUE,Moderate,8,Strike,Late Alert,TRUE
SHP100054,R000122,1,FALSE,NA,Paid,TRUE,Moderate,6,NA,NA,FALSE
SHP100054,R000123,2,TRUE,Feeder Delay,Paid,TRUE,Low,5,NA,Late Alert,FALSE
SHP100054,R000124,3,FALSE,NA,Paid,TRUE,Low,7,NA,NA,FALSE
SHP100055,R000125,1,TRUE,Late Document,Paid,TRUE,Low,5,NA,Late Alert,FALSE
SHP100055,R000126,2,TRUE,Carrier Overbooking,Paid,TRUE,Low,6,NA,Late Alert,FALSE
SHP100056,R000127,1,TRUE,Late Document,Pending,FALSE,Moderate,5,NA,Blank Sailing,TRUE
SHP100056,R000128,2,TRUE,Hub Congestion,Pending,FALSE,Low,6,NA,Late Alert,FALSE
SHP100056,R000129,3,TRUE,Customs Hold,Pending,FALSE,Low,5,NA,Blank Sailing,TRUE
SHP100057,R000130,1,TRUE,Hub Congestion,Paid,TRUE,Moderate,2,NA,Late Alert,FALSE
SHP100057,R000131,2,FALSE,NA,Paid,TRUE,Moderate,6,NA,Late Alert,FALSE
SHP100057,R000132,3,TRUE,Vessel Omission,Paid,TRUE,Low,6,NA,Late Alert,FALSE
SHP100058,R000133,1,TRUE,Vessel Omission,Overdue,TRUE,Moderate,4,NA,Late Alert,FALSE
SHP100058,R000134,2,FALSE,NA,Overdue,TRUE,Moderate,6,NA,NA,FALSE
SHP100058,R000135,3,TRUE,Feeder Delay,Overdue,TRUE,Moderate,5,NA,Late Alert,FALSE
SHP100059,R000136,1,FALSE,NA,Pending,TRUE,Low,8,NA,NA,FALSE
SHP100060,R000137,1,TRUE,Carrier Overbooking,Paid,TRUE,Low,7,NA,Blank Sailing,TRUE
SHP100060,R000138,2,TRUE,Feeder Delay,Paid,TRUE,High,10,NA,Late Alert,TRUE
SHP100060,R000139,3,TRUE,Hub Congestion,Paid,TRUE,Low,6,NA,Late Alert,FALSE
SHP100061,R000140,1,FALSE,NA,Paid,TRUE,Low,7,NA,NA,FALSE
SHP100062,R000141,1,TRUE,Feeder Delay,Paid,TRUE,Low,6,NA,Late Alert,FALSE
SHP100062,R000142,2,TRUE,Feeder Delay,Paid,TRUE,Low,8,NA,Late Alert,FALSE
SHP100062,R000143,3,TRUE,Hub Congestion,Paid,TRUE,Low,5,NA,Late Alert,FALSE
SHP100063,R000144,1,TRUE,Carrier Overbooking,Overdue,TRUE,Moderate,2,NA,Blank Sailing,TRUE
SHP100064,R000145,1,TRUE,Hub Congestion,Paid,TRUE,High,10,NA,NA,TRUE
SHP100065,R000146,1,TRUE,Hub Congestion,Paid,TRUE,High,10,NA,Late Alert,TRUE
SHP100065,R000147,2,FALSE,NA,Paid,TRUE,High,7,Strike,NA,TRUE
SHP100066,R000148,1,TRUE,Hub Congestion,Overdue,TRUE,Moderate,9,NA,Late Alert,TRUE
SHP100066,R000149,2,FALSE,NA,Overdue,TRUE,Moderate,6,NA,NA,FALSE
SHP100066,R000150,3,TRUE,Vessel Omission,Overdue,TRUE,Low,4,NA,Blank Sailing,TRUE
SHP100067,R000151,1,TRUE,Vessel Omission,Paid,TRUE,Low,7,NA,NA,FALSE
SHP100067,R000152,2,TRUE,Feeder Delay,Paid,TRUE,Moderate,7,NA,NA,FALSE
SHP100067,R000153,3,TRUE,Late Document,Paid,TRUE,Low,6,NA,Late Alert,FALSE
SHP100068,R000154,1,TRUE,Late Document,Pending,FALSE,Moderate,9,Embargo,Late Alert,TRUE
SHP100068,R000155,2,FALSE,NA,Pending,FALSE,Moderate,4,NA,NA,FALSE
SHP100068,R000156,3,TRUE,Hub Congestion,Pending,FALSE,Moderate,9,NA,Blank Sailing,TRUE
SHP100069,R000157,1,FALSE,NA,Paid,TRUE,Moderate,7,NA,NA,FALSE
SHP100069,R000158,2,TRUE,Customs Hold,Paid,TRUE,High,5,NA,Late Alert,TRUE
SHP100070,R000159,1,TRUE,Vessel Omission,Pending,TRUE,Moderate,4,NA,Late Alert,FALSE
SHP100070,R000160,2,FALSE,NA,Pending,TRUE,Low,6,NA,NA,FALSE
SHP100070,R000161,3,TRUE,Late Document,Pending,TRUE,Low,8,NA,Late Alert,FALSE
SHP100071,R000162,1,FALSE,NA,Pending,TRUE,Low,6,NA,NA,FALSE
SHP100071,R000163,2,TRUE,Feeder Delay,Pending,TRUE,Low,6,NA,Late Alert,FALSE
SHP100072,R000164,1,FALSE,NA,Paid,TRUE,Moderate,3,NA,NA,FALSE
SHP100072,R000165,2,TRUE,Feeder Delay,Paid,TRUE,Moderate,9,NA,Blank Sailing,TRUE
SHP100073,R000166,1,FALSE,NA,Paid,FALSE,Moderate,3,NA,Late Alert,FALSE
SHP100074,R000167,1,TRUE,Feeder Delay,Paid,TRUE,Moderate,5,NA,Late Alert,FALSE
SHP100074,R000168,2,TRUE,Hub Congestion,Paid,TRUE,Moderate,9,NA,Late Alert,TRUE
SHP100074,R000169,3,TRUE,Feeder Delay,Paid,TRUE,Moderate,5,NA,Late Alert,FALSE
SHP100075,R000170,1,TRUE,Late Document,Paid,FALSE,Moderate,6,NA,Late Alert,FALSE
SHP100076,R000171,1,TRUE,Customs Hold,Overdue,TRUE,Moderate,6,Embargo,Blank Sailing,TRUE
SHP100076,R000172,2,TRUE,Vessel Omission,Overdue,TRUE,Low,6,NA,Late Alert,FALSE
SHP100076,R000173,3,TRUE,Carrier Overbooking,Overdue,TRUE,Low,4,NA,Blank Sailing,TRUE
SHP100077,R000174,1,FALSE,NA,Paid,TRUE,Moderate,8,NA,NA,FALSE
SHP100077,R000175,2,FALSE,NA,Paid,TRUE,Low,8,NA,NA,FALSE
SHP100078,R000176,1,TRUE,Late Document,Paid,FALSE,Low,6,NA,Late Alert,FALSE
SHP100078,R000177,2,FALSE,NA,Paid,FALSE,Low,5,NA,Late Alert,FALSE
SHP100078,R000178,3,FALSE,NA,Paid,FALSE,Moderate,4,NA,NA,FALSE
SHP100079,R000179,1,FALSE,NA,Pending,TRUE,Low,8,NA,NA,FALSE
SHP100079,R000180,2,TRUE,Feeder Delay,Pending,TRUE,Moderate,2,NA,Blank Sailing,TRUE
SHP100080,R000181,1,TRUE,Late Document,Paid,FALSE,Low,4,NA,Late Alert,TRUE
SHP100080,R000182,2,FALSE,NA,Paid,FALSE,Moderate,5,NA,NA,FALSE
SHP100080,R000183,3,TRUE,Hub Congestion,Paid,FALSE,Low,3,NA,Late Alert,FALSE
SHP100081,R000184,1,FALSE,NA,Pending,TRUE,Low,2,NA,NA,FALSE
SHP100081,R000185,2,FALSE,NA,Pending,TRUE,Low,4,NA,NA,FALSE
SHP100081,R000186,3,TRUE,Feeder Delay,Pending,TRUE,Moderate,7,NA,Blank Sailing,TRUE
SHP100082,R000187,1,TRUE,Hub Congestion,Paid,TRUE,Low,6,NA,Blank Sailing,TRUE
SHP100082,R000188,2,FALSE,NA,Paid,TRUE,Moderate,7,NA,Late Alert,FALSE
SHP100083,R000189,1,TRUE,Hub Congestion,Pending,TRUE,Moderate,7,NA,Late Alert,FALSE
SHP100083,R000190,2,TRUE,Late Document,Pending,TRUE,Moderate,6,NA,NA,FALSE
SHP100084,R000191,1,TRUE,Carrier Overbooking,Overdue,TRUE,Low,6,NA,NA,FALSE
SHP100084,R000192,2,FALSE,NA,Overdue,TRUE,Moderate,8,NA,NA,FALSE
SHP100084,R000193,3,TRUE,Feeder Delay,Overdue,TRUE,Low,8,NA,Late Alert,FALSE
SHP100085,R000194,1,FALSE,NA,Overdue,TRUE,Moderate,6,NA,NA,FALSE
SHP100086,R000195,1,TRUE,Hub Congestion,Paid,TRUE,Moderate,9,Embargo,Late Alert,TRUE
SHP100086,R000196,2,TRUE,Feeder Delay,Paid,TRUE,Moderate,4,NA,Late Alert,FALSE
SHP100086,R000197,3,TRUE,Carrier Overbooking,Paid,TRUE,Low,6,NA,Blank Sailing,TRUE
SHP100087,R000198,1,FALSE,NA,Paid,TRUE,Low,6,NA,Late Alert,FALSE
SHP100087,R000199,2,FALSE,NA,Paid,TRUE,Moderate,2,NA,NA,FALSE
SHP100087,R000200,3,TRUE,Feeder Delay,Paid,TRUE,Low,7,NA,Blank Sailing,TRUE
SHP100088,R000201,1,TRUE,Hub Congestion,Overdue,TRUE,Moderate,9,Military,Late Alert,TRUE
SHP100088,R000202,2,TRUE,Feeder Delay,Overdue,TRUE,Low,5,NA,Late Alert,FALSE
SHP100088,R000203,3,TRUE,Feeder Delay,Overdue,TRUE,Moderate,6,NA,NA,FALSE
SHP100089,R000204,1,FALSE,NA,Paid,TRUE,Low,8,NA,Late Alert,TRUE
SHP100089,R000205,2,FALSE,NA,Paid,TRUE,High,8,NA,NA,TRUE
SHP100089,R000206,3,TRUE,Feeder Delay,Paid,TRUE,Moderate,6,NA,Late Alert,FALSE
SHP100090,R000207,1,TRUE,Hub Congestion,Paid,TRUE,Moderate,9,NA,Late Alert,TRUE
SHP100091,R000208,1,FALSE,NA,Pending,TRUE,Moderate,4,Embargo,NA,TRUE
SHP100091,R000209,2,TRUE,Feeder Delay,Pending,TRUE,Moderate,8,NA,Late Alert,FALSE
SHP100091,R000210,3,TRUE,Feeder Delay,Pending,TRUE,Low,3,NA,Late Alert,FALSE
SHP100092,R000211,1,FALSE,NA,Paid,TRUE,Moderate,7,NA,NA,FALSE
SHP100093,R000212,1,FALSE,NA,Overdue,TRUE,Low,6,NA,NA,TRUE
SHP100093,R000213,2,TRUE,Feeder Delay,Overdue,TRUE,High,9,Embargo,Blank Sailing,TRUE
SHP100093,R000214,3,TRUE,Feeder Delay,Overdue,TRUE,Low,4,NA,Late Alert,FALSE
SHP100094,R000215,1,TRUE,Vessel Omission,Paid,TRUE,High,6,NA,Late Alert,TRUE
SHP100094,R000216,2,TRUE,Hub Congestion,Paid,TRUE,Low,5,NA,Late Alert,FALSE
SHP100094,R000217,3,TRUE,Feeder Delay,Paid,TRUE,Low,6,NA,Late Alert,FALSE
SHP100095,R000218,1,TRUE,Vessel Omission,Paid,TRUE,Low,6,NA,Late Alert,FALSE
SHP100095,R000219,2,FALSE,NA,Paid,TRUE,Moderate,8,NA,NA,FALSE
SHP100096,R000220,1,TRUE,Feeder Delay,Paid,TRUE,Low,6,NA,Late Alert,FALSE
SHP100097,R000221,1,TRUE,Feeder Delay,Paid,TRUE,Low,3,NA,Blank Sailing,TRUE
SHP100097,R000222,2,TRUE,Vessel Omission,Paid,TRUE,Moderate,8,NA,Late Alert,FALSE
SHP100097,R000223,3,FALSE,NA,Paid,TRUE,Moderate,3,NA,NA,FALSE
SHP100098,R000224,1,TRUE,Hub Congestion,Pending,TRUE,Low,7,NA,Blank Sailing,TRUE
SHP100098,R000225,2,TRUE,Feeder Delay,Pending,TRUE,Low,8,Embargo,Late Alert,TRUE
SHP100098,R000226,3,FALSE,NA,Pending,TRUE,Moderate,6,NA,NA,TRUE
SHP100099,R000227,1,FALSE,NA,Overdue,TRUE,High,7,NA,Late Alert,TRUE
SHP100099,R000228,2,FALSE,NA,Overdue,TRUE,Moderate,7,NA,Late Alert,FALSE
SHP100099,R000229,3,TRUE,Feeder Delay,Overdue,TRUE,Moderate,9,NA,Late Alert,TRUE
SHP100100,R000230,1,TRUE,Hub Congestion,Pending,TRUE,Moderate,4,NA,Late Alert,FALSE
SHP100100,R000231,2,FALSE,NA,Pending,TRUE,Low,6,NA,NA,FALSE
SHP100101,R000232,1,FALSE,NA,Pending,TRUE,Low,5,NA,NA,FALSE
SHP100101,R000233,2,TRUE,Customs Hold,Pending,TRUE,Low,3,Embargo,Blank Sailing,TRUE
SHP100101,R000234,3,TRUE,Carrier Overbooking,Pending,TRUE,Moderate,4,NA,Late Alert,FALSE
SHP100102,R000235,1,TRUE,Carrier Overbooking,Paid,TRUE,Low,4,NA,Blank Sailing,TRUE
SHP100102,R000236,2,TRUE,Feeder Delay,Paid,TRUE,High,4,NA,Blank Sailing,TRUE
SHP100103,R000237,1,TRUE,Hub Congestion,Paid,TRUE,Moderate,8,NA,NA,FALSE
SHP100103,R000238,2,TRUE,Feeder Delay,Paid,TRUE,Low,7,NA,Late Alert,FALSE
SHP100104,R000239,1,FALSE,NA,Paid,TRUE,Low,7,NA,Late Alert,FALSE
SHP100104,R000240,2,TRUE,Feeder Delay,Paid,TRUE,High,6,NA,NA,TRUE
SHP100104,R000241,3,TRUE,Feeder Delay,Paid,TRUE,Low,4,NA,Late Alert,FALSE
SHP100105,R000242,1,FALSE,NA,Paid,TRUE,High,6,NA,NA,TRUE
SHP100105,R000243,2,TRUE,Feeder Delay,Paid,TRUE,Moderate,7,NA,Blank Sailing,TRUE
SHP100105,R000244,3,FALSE,NA,Paid,TRUE,Low,8,NA,NA,FALSE
SHP100106,R000245,1,FALSE,NA,Paid,TRUE,Low,7,NA,NA,FALSE
SHP100106,R000246,2,TRUE,Carrier Overbooking,Paid,TRUE,Moderate,4,NA,NA,FALSE
SHP100107,R000247,1,FALSE,NA,Paid,TRUE,Low,8,NA,NA,FALSE
SHP100107,R000248,2,TRUE,Carrier Overbooking,Paid,TRUE,Low,7,NA,Late Alert,FALSE
SHP100108,R000249,1,FALSE,NA,Paid,TRUE,Moderate,5,NA,NA,FALSE
SHP100108,R000250,2,TRUE,Feeder Delay,Paid,TRUE,Low,1,NA,Late Alert,FALSE
SHP100108,R000251,3,FALSE,NA,Paid,TRUE,High,5,Military,NA,TRUE
SHP100109,R000252,1,TRUE,Carrier Overbooking,Paid,TRUE,Moderate,7,NA,Late Alert,FALSE
SHP100109,R000253,2,TRUE,Carrier Overbooking,Paid,TRUE,Low,5,NA,Late Alert,FALSE
SHP100110,R000254,1,FALSE,NA,Paid,FALSE,Moderate,5,NA,NA,FALSE
SHP100110,R000255,2,TRUE,Vessel Omission,Paid,FALSE,Low,7,NA,Late Alert,FALSE
SHP100110,R000256,3,TRUE,Late Document,Paid,FALSE,Low,5,Strike,Late Alert,TRUE
SHP100111,R000257,1,TRUE,Late Document,Pending,FALSE,Moderate,9,NA,Blank Sailing,TRUE
SHP100111,R000258,2,TRUE,Feeder Delay,Pending,FALSE,High,4,NA,Late Alert,TRUE
SHP100112,R000259,1,TRUE,Late Document,Paid,FALSE,Moderate,9,Strike,Late Alert,TRUE
SHP100112,R000260,2,FALSE,NA,Paid,FALSE,Low,4,NA,NA,FALSE
SHP100112,R000261,3,FALSE,NA,Paid,FALSE,Low,7,NA,NA,FALSE
SHP100113,R000262,1,TRUE,Vessel Omission,Paid,TRUE,High,2,NA,Blank Sailing,TRUE
SHP100113,R000263,2,TRUE,Feeder Delay,Paid,TRUE,Low,8,NA,Blank Sailing,TRUE
SHP100114,R000264,1,FALSE,NA,Paid,TRUE,Moderate,6,NA,NA,FALSE
SHP100114,R000265,2,TRUE,Feeder Delay,Paid,TRUE,High,8,NA,Blank Sailing,TRUE
SHP100115,R000266,1,TRUE,Late Document,Paid,TRUE,Moderate,4,NA,Late Alert,FALSE
SHP100115,R000267,2,FALSE,NA,Paid,TRUE,Moderate,8,NA,NA,FALSE
SHP100116,R000268,1,FALSE,NA,Pending,FALSE,Moderate,6,NA,Late Alert,FALSE
SHP100116,R000269,2,TRUE,Feeder Delay,Pending,FALSE,Moderate,7,NA,Blank Sailing,TRUE
SHP100117,R000270,1,FALSE,NA,Overdue,TRUE,Moderate,2,NA,NA,FALSE
